               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.040301,           0.0064837,           0.0042936,             0.87245,             0.53273,             0.58879,             0.36337,            0.052721,           0.0071964,            0.011667,            0.001783,            0.001783,            0.001783
                  85,            0.040663,           0.0065851,            0.004314,             0.87487,             0.52095,             0.58173,             0.36135,            0.053028,           0.0072084,            0.011797,            0.001684,            0.001684,            0.001684
                  86,             0.03919,           0.0065381,           0.0040545,             0.85167,             0.52899,             0.58205,             0.36391,             0.05258,           0.0072128,            0.011709,            0.001585,            0.001585,            0.001585
                  87,            0.039171,           0.0066757,           0.0040931,             0.87071,             0.52872,             0.58457,             0.36225,            0.052991,           0.0071326,            0.012113,            0.001486,            0.001486,            0.001486
                  88,            0.039046,           0.0063886,           0.0039569,             0.85828,             0.53506,             0.58517,             0.36189,            0.053018,           0.0071965,             0.01187,            0.001387,            0.001387,            0.001387
                  89,            0.038771,           0.0063224,           0.0038819,             0.87046,             0.52626,             0.58051,             0.36147,            0.053263,           0.0072225,             0.01173,            0.001288,            0.001288,            0.001288
                  90,             0.03926,           0.0063121,           0.0042419,             0.86888,             0.53357,             0.58838,             0.36472,            0.052931,           0.0072598,            0.011683,            0.001189,            0.001189,            0.001189
                  91,            0.038324,           0.0063803,             0.00385,             0.84028,             0.54762,             0.58364,             0.36067,            0.052953,           0.0072267,            0.012269,             0.00109,             0.00109,             0.00109
                  92,            0.038897,           0.0062213,           0.0041038,             0.88634,             0.53238,             0.58716,             0.36551,            0.052902,           0.0071875,            0.012004,            0.000991,            0.000991,            0.000991
                  93,            0.038417,           0.0062955,           0.0038628,              0.8829,             0.52116,             0.58573,             0.36348,            0.052713,           0.0072294,            0.012265,            0.000892,            0.000892,            0.000892
                  94,             0.03806,            0.006241,           0.0039573,             0.87584,             0.53753,             0.59452,              0.3657,            0.052682,           0.0072091,            0.011686,            0.000793,            0.000793,            0.000793
                  95,            0.037813,           0.0063825,           0.0039483,             0.86853,             0.53192,              0.5952,             0.36828,            0.052477,           0.0072418,            0.012077,            0.000694,            0.000694,            0.000694
                  96,            0.036568,           0.0062519,           0.0034628,             0.87487,             0.52716,             0.59346,             0.36689,            0.052699,            0.007231,            0.011815,            0.000595,            0.000595,            0.000595
                  97,            0.037019,            0.006046,            0.003704,             0.88406,             0.52434,             0.59482,             0.36593,            0.052902,           0.0073318,            0.011821,            0.000496,            0.000496,            0.000496
                  98,             0.03774,           0.0061975,           0.0039093,             0.88119,             0.53243,             0.59414,              0.3667,            0.052811,           0.0073445,            0.011668,            0.000397,            0.000397,            0.000397
                  99,            0.036849,           0.0061576,           0.0038537,              0.8857,             0.52261,             0.58994,             0.36578,            0.052782,           0.0073808,            0.011762,            0.000298,            0.000298,            0.000298
